Questionnaire,Organization Number,Organization Name,City,Country,CDP Region,C40 City,GCoM City,Access,Assessment attachment and/or direct link,Confirm attachment/link provided,Boundary of assessment relative to jurisdiction boundary,Year of publication or approval,Factors considered in assessment,Primary author(s) of assessment,Does the city have adaptation goal(s) and/or an adaptation plan?,Population,Population Year,City Location,Last update
Cities 2022,1499,City of Barcelona,Barcelona,Spain,Europe,Yes,Yes,public,Deliverable 2.5.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2020,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Community group; Dedicated team within jurisdiction; International organization,Adaptation goal(s) and adaptation plan,1636732,2021,POINT (2.1775 41.3823),02/17/2023 03:20:42 AM
Cities 2022,35883,"City of San José, CA","San José, CA",United States of America,United States of America,No,Yes,public,https://abag.ca.gov/sites/default/files/santaclaraco-annex-2011.pdf,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: This annex covers our entire county.",2011,Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction; Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,976482,2022,POINT (-121.886 37.3382),02/17/2023 03:20:42 AM
Cities 2022,44299,Dangjin City,Dangjin-si,Republic of Korea,East Asia,No,Yes,public,http://dl.nanet.go.kr/law/SearchDetailView.do?cn=MONO1201740425,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2016,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Regional/ state/ provincial government; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,167092,2021,,02/17/2023 03:20:42 AM
Cities 2022,852443,"Ferndale, MI",,United States of America,United States of America,No,Yes,public,,Unable to provide an attachment and/or direct link to the assessment,Same - covers entire jurisdiction and nothing else,2019,,,Adaptation goal(s),19000,2020,,02/17/2023 03:20:42 AM
Cities 2022,54119,"City of Palo Alto, CA",Palo Alto,United States of America,United States of America,No,Yes,public,http://www.cityofpaloalto.org/thira,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2017,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,67973,2020,POINT (-122.143 37.4419),02/17/2023 03:20:42 AM
Cities 2022,50572,"City of Saint Paul, MN",Saint Paul,United States of America,United States of America,No,Yes,public,https://www.ramseycounty.us/sites/default/files/Departments/Public%20Health/ccva_final.pdf,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Ramsey County",2016,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,311527,2020,POINT (-93.09 44.9537),02/17/2023 03:20:42 AM
Cities 2022,36285,City of Florence,Firenze,Italy,Europe,No,Yes,public,Piano Comunale di Protezione Civile 2018.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2019,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,366079,2022,POINT (11.2558 43.7696),02/17/2023 03:20:42 AM
Cities 2022,35856,Busan Metropolitan City,Busan-si,Republic of Korea,East Asia,No,No,public,#. 제3차 부산광역시 기후변화 적응대책 세부시행계획 수립(2022_2026) 최종보고서.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2022,A process has been established to update the assessment at least every five years; Assessment includes a high-emissions scenario,Question not applicable,Adaptation goal(s) and adaptation plan,3396109,2021,,02/17/2023 03:20:42 AM
Cities 2022,834126,Dobong-gu District of Seoul,,Republic of Korea,East Asia,No,Yes,public,제2차 도봉구 기후변화 적응대책 세부시행계획(2021~2025).pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2022,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,"Other, please specify: Evaluation as research service by an external specialized institution",Adaptation goal(s) and adaptation plan,327361,2020,,02/17/2023 03:20:42 AM
Cities 2022,854050,"City of Nanaimo, BC",,Canada,Canada,No,Yes,public,https://www.nanaimo.ca/docs/social-culture-environment/sustainability/climate-change-resilience-strategy-(2020).pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2020,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario,Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,90505,2021,,02/17/2023 03:20:42 AM
Cities 2022,35912,Surat Municipal Corporation,Surat,India,South Asia,No,Yes,public,https://resilientcitiesnetwork.org/downloadable_resources/Network/Surat-Resilience-Strategy-English.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2020,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,Consultant,Adaptation goal(s) and adaptation plan,6500000,2011,,02/17/2023 03:20:42 AM
Cities 2022,840075,Unley City Council,Unley,Australia,Oceania,No,Yes,public,https://www.resilienteast.com/resources  and  https://static1.squarespace.com/static/5c4d88b5aa49a11b1eae4b9f/t/5c4efde8cd836601cd1c0c73/1548680699083/IVA+Report.pdf,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Undertaken as part of the Resilient East project - a partnership between the Cities of Unley, Adelaide, Tea Tree Gully, Campbelltown, Burnside, Norwood Payneham and St Peters, Prospect and The Town of Walkerville.",2015,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant,Adaptation goal(s) and adaptation plan,39082,2021,POINT (138.6 -34.95),02/17/2023 03:20:42 AM
Cities 2022,60394,Gobierno Autónomo Municipal de Tarija,Tarija,Bolivia (Plurinational State of),Latin America,No,Yes,public,O2.P1_Plan_de_Adaptacion_Tarija_19032021.pdf,The assessment has been attached,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions",2020,Assessment considers transition risks,International organization,Adaptation plan,250000,2022,POINT (-63.4884 -21.2666),02/17/2023 03:20:42 AM
Cities 2022,54614,Prefeitura da Cidade de São José do Rio Preto,São José do Rio Preto,Brazil,Latin America,No,No,public,https://www.riopreto.sp.gov.br/wp-content/uploads/arquivosPortalGOV/defesa-civil/plano-local-de-resiliencia-sao-jose-do-rio-preto-pt.pdf,The assessment can be accessed (unrestricted) on the link provided,"Partial - covers part of the jurisdiction and adjoining areas, please explain exclusions/additions: Para o Plano de Resiliência, foram consideradas as áreas de risco já canhecidas, inicialmente, possibilitando dessa maneira a resiliência frente a essas situações.",2019,Identified hazards have been incorporated into the jurisdictions overall risk management framework,,Adaptation goal(s),464983,2020,POINT (-49.3762 -20.8118),02/17/2023 03:20:42 AM
Cities 2022,862814,"South-East Region of Ireland (Kilkenny, Carlow, Wexford, and Waterford Counties)",Waterford,Ireland,Europe,No,No,public,http://www.carlow.ie/wp-content/documents/uploads/Climate%20Change%20Adaptation%20Strategy%202019.pdf,The assessment has been attached,"Smaller - covers only part of the jurisdiction, please explain exclusions: Southeast region is composed of 4 counties which produced the assessment individually",2019,Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,456228,2022,POINT (-7.14535 52.2454),02/17/2023 03:20:42 AM
Cities 2022,13506,Nottingham City Council,Nottingham,United Kingdom of Great Britain and Northern Ireland,Europe,No,Yes,public,Climate Change Risks in Nottingham,Unable to provide an attachment and/or direct link to the assessment,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: UK Climate Projections 2018 (UKCP18) at a 25km scale used for this study, which is slightly larger than the Nottingham city urban area (incorporating adjoining areas).",,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,Consultant,Adaptation goal(s) and adaptation plan,337098,2020,,02/17/2023 03:20:42 AM
Cities 2022,74488,"City of Beverly, MA",,United States of America,United States of America,No,No,public,https://www.beverlyma.gov/184/Hazard-Mitigation-Plan,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2018,,,Adaptation goal(s) and adaptation plan,0,,,02/17/2023 03:20:42 AM
Cities 2022,31180,Región Metropolitana de Santiago,Santiago,Chile,Latin America,Yes,Yes,public,Plan-Nacional-Adaptacion-Cambio-Climatico-version-final.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Plan Nacional de Adaptación al Cambio Climático",2014,A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario,National/ central government,Adaptation goal(s),8310984,2022,POINT (-70.6693 -33.4489),02/17/2023 03:20:42 AM
Cities 2022,54396,Can Tho City,Can Tho City,Viet Nam,Southeast Asia,No,Yes,public,Vulnerability Assessment-14-22.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2021,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,,Adaptation goal(s) and adaptation plan,1246993,2021,,02/17/2023 03:20:42 AM
Cities 2022,11315,City of Manchester,,United Kingdom of Great Britain and Northern Ireland,Europe,No,Yes,public,www.greatermanchester-ca.gov.uk/media/4542/greater-manchester-resilience-strategy-2020-2030.pdf,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Greater Manchester City Region",2021,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,557870,2022,,02/17/2023 03:20:42 AM
Cities 2022,35893,City of Dar es Salaam,Dar es Salaam,United Republic of Tanzania,Africa,Yes,Yes,public,https://unfccc.int/sites/default/files/resource/tzanc2.pdf,The assessment has been attached,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Assessment cover the entire region",2014,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,Relevant department within jurisdiction,Adaptation plan,6400000,2020,POINT (39.2083 -6.79235),02/17/2023 03:20:42 AM
Cities 2022,31146,Addis Ababa City Administration,Addis Ababa,Ethiopia,Africa,Yes,Yes,public,Addis-CCRA-&-Adaptation-Planning-FINAL-REPORT-23Feb21-with-foreward (1).pdf,The assessment has been attached,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: the assessment boundary  is similar with  the jurisdiction boundary",2021,A process has been established for prioritizing identified hazards; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant,Adaptation goal(s) and adaptation plan,3126469,2010,POINT (38.7544 9.02887),02/17/2023 03:20:42 AM
Cities 2022,54521,BCP Council,Bournemouth,United Kingdom of Great Britain and Northern Ireland,Europe,No,Yes,public,LCLIP Report 2009.pdf,The assessment has been attached,"Smaller - covers only part of the jurisdiction, please explain exclusions: Three adjoining towns have merged to create BCP Council area. The Bournemouth area was the subject of this study, but as it is the central town, the surrounding areas are subject to similar climate risks and vulnerabilities.",2009,Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,197000,2022,POINT (-1.88076 50.7192),02/17/2023 03:20:42 AM
Cities 2022,848122,Alajuela,,Costa Rica,Latin America,No,Yes,public,,The assessment has been attached,"Smaller - covers only part of the jurisdiction, please explain exclusions",2018,,,Adaptation goal(s),297879,2016,,02/17/2023 03:20:42 AM
Cities 2022,54403,City of Tampere,Tampere,Finland,Europe,No,Yes,public,TRE Climate change adaptation_en_fi.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2022,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,244223,2021,POINT (23.761 61.4978),02/17/2023 03:20:42 AM
Cities 2022,31446,Taipei City Government,Taipei,"Taiwan, China",East Asia,No,Yes,public,2021臺北市氣候變遷調適行動計畫(Taipei City Climate Change Adaptation Action Plan).pdf,The assessment has been attached,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The scope includes the neighboring cities: New Taipei City",2021,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,2524393,2021,POINT (121.564 25.0375),02/17/2023 03:20:42 AM
Cities 2022,35995,Distrito Federal (Brasília),Brasília,Brazil,Latin America,No,Yes,public,https://www.sema.df.gov.br/wp-conteudo/uploads/2022/03/PLANO-ADAPTACAO-E-BOOK.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2021,Assessment considers nature; Assessment considers water security; Assessment includes a high-emissions scenario,Consultant; Relevant department within jurisdiction,Adaptation plan,3094325,2021,POINT (-47.8822 -15.7942),02/17/2023 03:20:42 AM
Cities 2022,60410,Municipalidad de Peñalolén,Peñalolén,Chile,Latin America,No,Yes,public,3DELIM~1.PDF,The assessment has been attached,"Partial - covers part of the jurisdiction and adjoining areas, please explain exclusions/additions: Zona precordillerana y cordillerana de Peñalolén. Incluye la principal cuenca de la comuna, abarcando comuna aledaña",2020,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,"Other, please specify: Academia",Adaptation goal(s) and adaptation plan,241599,2017,POINT (-70.5302 -33.454),02/17/2023 03:20:42 AM
Cities 2022,826201,Ayuntamiento de Zapopan,,Mexico,Latin America,No,Yes,public,Análisis de Riesgos y Vulnerabilidades Climáticas Zapopan feb 2022.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2022,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; International organization; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,1476491,2020,,02/17/2023 03:20:42 AM
Cities 2022,54348,The Local Government of Quezon City,Quezon City,Philippines,Southeast Asia,Yes,Yes,public,https://drive.google.com/drive/folders/1i0owiMQ7FMrVLWK4uMf7yFG0znvVz8XI,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2020,A process has been established for prioritizing identified hazards; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,,Adaptation goal(s) and adaptation plan,2960048,2020,POINT (120.862 15.6835),02/17/2023 03:20:42 AM
Cities 2022,60433,Hvidovre Municipality,Hvidovre,Denmark,Europe,No,Yes,public,https://www.hvidovre.dk/media/pewawvkd/hvidovre_risikostyringsplan_vedtaget_28092021.pdf,The assessment has been attached,"Partial - covers part of the jurisdiction and adjoining areas, please explain exclusions/additions",2021,,Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,53267,2022,POINT (12.4754 55.6425),02/17/2023 03:20:42 AM
Cities 2022,59653,"City of Manhattan Beach, CA",Manhattan Beach,United States of America,United States of America,No,Yes,public,https://www.southbaycities.org/sites/default/files/documents/FinalSubRegionalAdaptationPlan_Sep_2019.pdf,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Covers surrounding region of 15 cities",2019,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario,Consultant,Adaptation goal(s) and adaptation plan,35506,2020,POINT (-118.405 33.8889),02/17/2023 03:20:42 AM
Cities 2022,35873,Medellín,Medellín,Colombia,Latin America,Yes,Yes,public,20201019_C40 MED_CRA_v3.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2020,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,2612958,2022,POINT (-75.5735 6.22729),02/17/2023 03:20:42 AM
Cities 2022,54098,"City of Thunder Bay, ON",Thunder Bay,Canada,Canada,No,Yes,public,https://climatereadycity.com/wp-content/uploads/2015/12/Earthcare_Climate_Ready_City_Web1.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2015,Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,108843,2021,POINT (-89.2477 48.3809),02/17/2023 03:20:42 AM
Cities 2022,35848,Municipality of Belo Horizonte,Belo Horizonte,Brazil,Latin America,No,Yes,public,http://conteudo.waycarbon.com/resumo-para-os-tomadores-de-decisao-estudo-de-vulnerabilidade-as-mudancas-climaticas-de-belo-horizonte,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2016,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario,Consultant; Dedicated team within jurisdiction,Adaptation goal(s),2375151,2010,POINT (-43.9345 -19.9167),02/17/2023 03:20:42 AM
Cities 2022,57877,Playa del Carmen,Playa del Carmen,Mexico,Latin America,No,Yes,public,https://atlasvulnerabilidad.inecc.gob.mx/page/index.html#zoom=11&lat=20.6048&lon=-87.4067&layers=1,The assessment can be accessed (unrestricted) on the link provided,"Partial - covers part of the jurisdiction and adjoining areas, please explain exclusions/additions: ES UN ATLAS NACIONAL QUE VIENE DIVIDIDO POR ESTADO Y POR MUNICIPIO, POR LO QUE SE SELECCIONO EL MUNICIPIO DE SOLIDARIDAD Y SE DESPRENDE LO QUE CORRESPONDE AL MUNICIPIO",2010,Assessment considers vulnerable populations,National/ central government,Adaptation goal(s),333800,2020,POINT (-87.0739 20.6295),02/17/2023 03:20:42 AM
Cities 2022,54328,City of Niigata,,Japan,East Asia,No,Yes,public,https://www.city.niigata.lg.jp/shisei/seisaku/seisaku/keikaku/kankyo/keikakutop/index.files/02_2syou.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2020,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario,Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,788465,2019,,02/17/2023 03:20:42 AM
Cities 2022,16581,"City of Seattle, WA",Seattle,United States of America,United States of America,Yes,Yes,public,1.1a 2015.08.25_ClimatePreparednessInventory_Sec1.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2015,Assessment considers vulnerable populations,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,737015,2020,POINT (-122.332 47.6062),02/17/2023 03:20:42 AM
Cities 2022,840075,Unley City Council,Unley,Australia,Oceania,No,Yes,public,https://www.unley.sa.gov.au/files/assets/public/environment-hub/climate-change-adaptation-governance-assessment-report-for-unley-29-06-21.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2021,A process has been established for prioritizing identified hazards; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant,Adaptation goal(s) and adaptation plan,39082,2021,POINT (138.6 -34.95),02/17/2023 03:20:42 AM
Cities 2022,60019,Rajshahi City Corporation,,Bangladesh,South Asia,No,Yes,public,01 Vulnerability Assessment Report_Rajshahi_December 2020.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2021,,International organization,Adaptation goal(s) and adaptation plan,850000,2021,,02/17/2023 03:20:42 AM
Cities 2022,54277,New Plymouth District Council,,New Zealand,Oceania,No,Yes,public,CDEM GroupPlan 2018-23.pdf,The assessment has been attached,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Civil Defence Emergency Management Plan for our region (Taranaki)",2018,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Regional/ state/ provincial government,Adaptation goal(s),87362,2022,POINT (174.354 -39.1011),02/17/2023 03:20:42 AM
Cities 2022,839980,Municipalidad de Avellaneda,,Argentina,Latin America,No,Yes,public,PLAC AVELLANEDA.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2020,,,Adaptation goal(s) and adaptation plan,29550,2022,,02/17/2023 03:20:42 AM
Cities 2022,31173,City of Milan,Milano,Italy,Europe,Yes,Yes,public,https://pianoalluvioni.adbpo.it/il-piano/,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions",2015,,,Adaptation goal(s) and adaptation plan,1386285,2021,POINT (9.08635 45.8026),02/17/2023 03:20:42 AM
Cities 2022,866598,"Chemung County, NY",,United States of America,United States of America,No,No,public,PE7 Vulnerability- HAZARD MITIGATION PLAN REVISED (002).pdf,The assessment has been attached,,,,,Adaptation goal(s),84148,2020,,02/17/2023 03:20:42 AM
Cities 2022,36262,City of Genoa,Genova,Italy,Europe,No,Yes,public,"Annex 1 - Scenarios of Genoa Context Demographic, Climate Change Digital Transition.pdf",The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2021,A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,564981,2021,POINT (9.31841 44.348),02/17/2023 03:20:42 AM
Cities 2022,59535,"Town of Vail, CO",Vail,United States of America,United States of America,No,No,public,CAC_Annual-Report-2019_Web.pdf,The assessment has been attached,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The assessment covers all of Eagle County",2019,Assessment considers nature; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Community group,Adaptation goal(s) and adaptation plan,5377,2022,POINT (-106.374 39.6403),02/17/2023 03:20:42 AM
Cities 2022,58595,Municipalidad de Belén,Belén,Costa Rica,Latin America,No,Yes,public,"Anexo 4.2.1.8 Taller de gestión de riesgos naturales y medidas de adaptación al cambio climático, .pdf",The assessment has been attached,Same - covers entire jurisdiction and nothing else,2016,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,"Community group; Other, please specify: Comisión Cantonal de Cambio Climático",Adaptation goal(s) and adaptation plan,24000,2017,POINT (-84.1503 10.0035),02/17/2023 03:20:42 AM
Cities 2022,848483,Oliva (Argentina),,Argentina,Latin America,No,Yes,public,PLAC Oliva 2022.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2022,A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment includes a high-emissions scenario,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,11971,2018,,02/17/2023 03:20:42 AM
Cities 2022,31009,Copenhagen Municipality,Copenhagen,Denmark,Europe,Yes,Yes,public,https://international.kk.dk/sites/default/files/2021-09/Copenhagen%20Climate%20Adaptation%20Plan%20-%202011.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2011,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction,Adaptation goal(s),644425,2022,POINT (12.5683 55.6761),02/17/2023 03:20:42 AM
Cities 2022,32480,City of Adelaide,Adelaide,Australia,Oceania,No,Yes,public,https://www.resilienteast.com/resources and   https://static1.squarespace.com/static/5c4d88b5aa49a11b1eae4b9f/t/5c4efde8cd836601cd1c0c73/1548680699083/IVA+Report.pdf,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: This was done as a collaborative partnership of 8 local municipalities and State Government, named Resilient East, https://www.resilienteast.com/",2016,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant,Adaptation goal(s) and adaptation plan,25026,2021,POINT (138.601 -34.9285),02/17/2023 03:20:42 AM
Cities 2022,68268,Brighton Council,,Australia,Oceania,No,Yes,public,https://www.brighton.tas.gov.au/wp-content/uploads/2021/04/Brighton-CAP-compressed.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2012,Assessment considers nature; Assessment considers transition risks; Assessment includes a high-emissions scenario,"Other, please specify",Adaptation goal(s) and adaptation plan,17675,2021,,02/17/2023 03:20:42 AM
Cities 2022,59653,"City of Manhattan Beach, CA",Manhattan Beach,United States of America,United States of America,No,Yes,public,https://www.citymb.info/home/showpublisheddocument/47057,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2021,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant,Adaptation goal(s) and adaptation plan,35506,2020,POINT (-118.405 33.8889),02/17/2023 03:20:42 AM
Cities 2022,50382,Municipio de Mérida,Mérida,Mexico,Latin America,No,Yes,public,Actualizacion del Atlas de Riesgo del Municipio de Mérida.,"Other, please specify: Aún no se cuenta con un documento ya que está en desarrollo por la organización del Centro Mario Molina.",Same - covers entire jurisdiction and nothing else,,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,National/ central government,Adaptation goal(s) and adaptation plan,995129,2021,POINT (-89.5926 20.9674),02/17/2023 03:20:42 AM
Cities 2022,59572,"District of Saanich, BC",Saanich,Canada,Canada,No,Yes,public,https://www.crd.bc.ca/docs/default-source/climate-action-pdf/reports/2017-07-17_climateprojectionsforthecapitalregion_final.pdf?sfvrsn=bb9f39ca_12,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: This climate projections report is downscaled to the regional district that Saanich is a member of.",2018,Assessment includes a high-emissions scenario,Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,117735,2021,POINT (123.378 48.4594),02/17/2023 03:20:42 AM
